Time;Mode;State;ErrorId;Cmd;
08:40:46.48;Config;Idle;0;READ_CONFIG_CHECKSUM; RD: CRC=65535;
08:40:51.90;Config;Idle;0;READ_PLC_INFO;
08:40:51.91;Config;Idle;0;DELETE_ALL_OBJECTS;
08:40:51.92;Config;Idle;0;CREATE_OBJECT; WD: ObjId=1 ObjType=Workplate; RD: NotifyId=0;
08:40:51.93;Config;Idle;0;CREATE_OBJECT; WD: ObjId=2 ObjType=TargetTray; RD: NotifyId=0;
08:40:51.94;Config;Idle;0;CREATE_OBJECT; WD: ObjId=3 ObjType=TargetTray; RD: NotifyId=0;
08:40:51.95;Config;Idle;0;CREATE_OBJECT; WD: ObjId=4 ObjType=TipCalibrator; RD: NotifyId=1;
08:40:51.96;Config;Idle;0;CREATE_OBJECT; WD: ObjId=5 ObjType=Point; RD: NotifyId=0;
08:40:51.97;Config;Idle;0;CREATE_OBJECT; WD: ObjId=6 ObjType=Point; RD: NotifyId=0;
08:40:51.98;Config;Idle;0;CREATE_OBJECT; WD: ObjId=7 ObjType=TargetTray; RD: NotifyId=0;
08:40:51.99;Config;Idle;0;CREATE_OBJECT; WD: ObjId=8 ObjType=TargetTray; RD: NotifyId=0;
08:40:52.00;Config;Idle;0;CREATE_OBJECT; WD: ObjId=9 ObjType=Slide; RD: NotifyId=0;
08:40:52.01;Config;Idle;0;CREATE_OBJECT; WD: ObjId=10 ObjType=Point; RD: NotifyId=0;
08:40:52.02;Config;Idle;0;CREATE_OBJECT; WD: ObjId=11 ObjType=Slide; RD: NotifyId=0;
08:40:52.03;Config;Idle;0;CREATE_OBJECT; WD: ObjId=12 ObjType=Point; RD: NotifyId=0;
08:40:52.04;Config;Idle;0;CREATE_OBJECT; WD: ObjId=13 ObjType=Slide; RD: NotifyId=0;
08:40:52.05;Config;Idle;0;CREATE_OBJECT; WD: ObjId=14 ObjType=Point; RD: NotifyId=0;
08:40:52.06;Config;Idle;0;CREATE_OBJECT; WD: ObjId=15 ObjType=Slide; RD: NotifyId=0;
08:40:52.07;Config;Idle;0;CREATE_OBJECT; WD: ObjId=16 ObjType=Point; RD: NotifyId=0;
08:40:52.08;Config;Idle;0;CREATE_OBJECT; WD: ObjId=17 ObjType=Slide; RD: NotifyId=0;
08:40:52.09;Config;Idle;0;CREATE_OBJECT; WD: ObjId=18 ObjType=Point; RD: NotifyId=0;
08:40:52.10;Config;Idle;0;CREATE_OBJECT; WD: ObjId=19 ObjType=Slide; RD: NotifyId=0;
08:40:52.11;Config;Idle;0;CREATE_OBJECT; WD: ObjId=20 ObjType=Point; RD: NotifyId=0;
08:40:52.12;Config;Idle;0;CREATE_OBJECT; WD: ObjId=21 ObjType=Slide; RD: NotifyId=0;
08:40:52.13;Config;Idle;0;CREATE_OBJECT; WD: ObjId=22 ObjType=Point; RD: NotifyId=0;
08:40:52.14;Config;Idle;0;CREATE_OBJECT; WD: ObjId=23 ObjType=Slide; RD: NotifyId=0;
08:40:52.15;Config;Idle;0;CREATE_OBJECT; WD: ObjId=24 ObjType=Point; RD: NotifyId=0;
08:40:52.16;Config;Idle;0;CREATE_OBJECT; WD: ObjId=25 ObjType=Slide; RD: NotifyId=0;
08:40:52.17;Config;Idle;0;CREATE_OBJECT; WD: ObjId=26 ObjType=Point; RD: NotifyId=0;
08:40:52.18;Config;Idle;0;CREATE_OBJECT; WD: ObjId=27 ObjType=Slide; RD: NotifyId=0;
08:40:52.19;Config;Idle;0;CREATE_OBJECT; WD: ObjId=28 ObjType=Point; RD: NotifyId=0;
08:40:52.20;Config;Idle;0;CREATE_OBJECT; WD: ObjId=29 ObjType=Slide; RD: NotifyId=0;
08:40:52.21;Config;Idle;0;CREATE_OBJECT; WD: ObjId=30 ObjType=Point; RD: NotifyId=0;
08:40:52.22;Config;Idle;0;CREATE_OBJECT; WD: ObjId=31 ObjType=Slide; RD: NotifyId=0;
08:40:52.23;Config;Idle;0;CREATE_OBJECT; WD: ObjId=32 ObjType=Point; RD: NotifyId=0;
08:40:52.24;Config;Idle;0;CREATE_OBJECT; WD: ObjId=33 ObjType=Slide; RD: NotifyId=0;
08:40:52.25;Config;Idle;0;CREATE_OBJECT; WD: ObjId=34 ObjType=Point; RD: NotifyId=0;
08:40:52.26;Config;Idle;0;CREATE_OBJECT; WD: ObjId=35 ObjType=Slide; RD: NotifyId=0;
08:40:52.27;Config;Idle;0;CREATE_OBJECT; WD: ObjId=36 ObjType=Point; RD: NotifyId=0;
08:40:52.28;Config;Idle;0;CREATE_OBJECT; WD: ObjId=37 ObjType=Point; RD: NotifyId=0;
08:40:52.29;Config;Idle;0;CREATE_OBJECT; WD: ObjId=38 ObjType=Point; RD: NotifyId=0;
08:40:52.30;Config;Idle;0;CREATE_OBJECT; WD: ObjId=39 ObjType=MZHead; RD: NotifyId=2;
08:40:52.31;Config;Idle;0;CREATE_OBJECT; WD: ObjId=40 ObjType=SinglePiezoHolder; RD: NotifyId=3;
08:40:52.32;Config;Idle;0;CREATE_OBJECT; WD: ObjId=41 ObjType=ZSensor; RD: NotifyId=4;
08:40:52.33;Config;Idle;0;CREATE_OBJECT; WD: ObjId=42 ObjType=CartridgeHolder; RD: NotifyId=5;
08:40:52.34;Config;Idle;0;CREATE_OBJECT; WD: ObjId=43 ObjType=CartridgeDisp; RD: NotifyId=6;
08:40:52.35;Config;Idle;0;CREATE_OBJECT; WD: ObjId=44 ObjType=Nozzle; RD: NotifyId=0;
08:40:52.36;Config;Idle;0;CREATE_OBJECT; WD: ObjId=45 ObjType=Camera; RD: NotifyId=7;
08:40:52.39;Config;Idle;0;READ_CONFIG_CHECKSUM; RD: CRC=17943;
08:40:52.40;Config;Idle;0;READ_OBJECT_IDS; RD: ObjIds=1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,;
08:40:52.41;Config;Idle;0;READ_OBJECT_CHECKSUM; RD: CRC=15703;
08:40:52.42;Config;Idle;0;READ_ACTIVATE_STATE; RD: Configuration is not activated;
08:40:52.44;Config;Idle;0;ACTIVATE_CONFIG;
08:40:52.52;Config;Idle;0;READ_CONFIG_CHECKSUM; RD: CRC=17943;
08:40:52.53;Config;Idle;0;READ_OBJECT_CHECKSUM; RD: CRC=15703;
08:40:52.54;Config;Idle;0;READ_ACTIVATE_STATE; RD: Configuration is activated;
08:40:52.59;Config;Idle;0;READ_ALL_PROPS; WD: ObjId=4; RD: ObjType=TipCalibrator NotifyId=1 Crc=9429;
08:40:52.61;Config;Idle;0;READ_ALL_PROPS; WD: ObjId=39; RD: ObjType=MZHead NotifyId=2 Crc=15761;
08:40:52.63;Config;Idle;0;READ_ALL_PROPS; WD: ObjId=40; RD: ObjType=SinglePiezoHolder NotifyId=3 Crc=13907;
08:40:52.65;Config;Idle;0;READ_ALL_PROPS; WD: ObjId=41; RD: ObjType=ZSensor NotifyId=4 Crc=35522;
08:40:52.67;Config;Idle;0;READ_ALL_PROPS; WD: ObjId=42; RD: ObjType=CartridgeHolder NotifyId=5 Crc=17479;
08:40:52.69;Config;Idle;0;READ_ALL_PROPS; WD: ObjId=43; RD: ObjType=CartridgeDisp NotifyId=6 Crc=10132;
08:40:52.71;Config;Idle;0;READ_ALL_PROPS; WD: ObjId=45; RD: ObjType=Camera NotifyId=7 Crc=38374;
08:40:52.77;Config;Idle;0;READ_HW_INFO; RD: 0x30101;
08:40:52.78;Config;Idle;0;READ_HW_INFO; RD: 0x40101;
08:40:52.79;Config;Idle;0;READ_HW_INFO; RD: 0x40103;
08:40:52.80;Config;Idle;0;READ_HW_INFO; RD: 0x40105;
08:40:52.81;Config;Idle;0;READ_HW_INFO; RD: 0x40107;
08:40:52.82;Config;Idle;0;READ_HW_INFO; RD: 0x190001;
08:40:52.83;Config;Idle;0;READ_HW_INFO; RD: 0x0000;
08:40:52.85;Config;Idle;0;CHANGE_MODE; WD: Mode=Config;
08:41:26.84;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:27.25;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:27.48;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:27.70;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:28.75;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:28.80;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:28.86;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:28.90;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:28.94;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:29.22;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:29.47;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:29.69;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:29.95;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:30.21;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:30.50;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:30.57;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:30.80;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:33.25;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:34.83;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:35.66;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:36.25;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:36.30;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:36.58;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:36.84;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:37.07;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:37.39;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:38.34;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:38.41;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:38.48;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:39.64;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:39.97;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:40.61;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:40.89;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:41.12;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:41.45;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:41.70;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:41.92;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:42.45;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:42.48;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:42.71;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:43.14;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:43.23;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:43.53;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:44.07;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:44.12;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:44.31;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:44.80;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:44.88;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:45.06;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:45.62;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:45.68;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:45.75;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:46.39;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:46.42;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:47.18;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:47.81;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:47.84;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:48.32;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:48.35;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:49.12;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:49.58;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:49.61;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:50.25;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:50.28;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:50.33;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:50.62;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:51.08;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:51.28;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:51.58;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:51.77;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:53.43;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:41:53.98;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:47:46.10;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:48:56.30;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:49:05.69;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:49:06.17;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:49:07.23;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
08:49:07.65;Config;Idle;0;WRITE_SINGLE_PROP; WD: ObjId=35 PropIndex=14;
